"","termin_wycieczki","wyzywienie","organizator","region","miejscowosc","ocena_wycieczki","hotel_nazwa","hotel_gwiazdki","id_wycieczki","liczba_rezerwacji","cena_za_osobe","data_aktualizacji"
"112",2019-03-09,"All Inclusive","Exim Tours","Gran Canaria",NA,7.2,"Maspalomas Oasis Club",2,"491712",47,2489,2018-12-23
"113",2019-03-09,"All Inclusive","Exim Tours","Gran Canaria","Maspalomas",7.2,"Maspalomas Oasis Club",2,"491713",47,2499,2018-12-23
"114",2019-05-04,"œniadania i obiadokolacje","Wezyr","Costa Brava","Lloret de Mar",8,"Gran Garbi",4,"227654",93,1910,2018-12-23
"115",2019-03-04,"All Inclusive","Itaka","Fuerteventura","Corralejo",7.9,"Oasis Papagayo",3,"442162",110,2739,2018-12-23
"116",2019-03-31,"All Inclusive","Rainbow","Teneryfa","Costa Adeje",6.8,"Playa Real Resort",4,"202376",136,2485,2018-12-23
"117",2019-05-18,"œniadania i obiadokolacje","Ecco Holiday","Teneryfa","Puerto de la Cruz",8.6,"Perla Tenerife",3,"362937",56,2338,2018-12-23
"118",2019-03-16,"bez wy¿ywienia","Exim Tours","Fuerteventura","Playa Esquinzo",NA,"Monte del Mar",3,"512998",NA,1689,2018-12-23
"119",2019-05-18,"œniadania i obiadokolacje","Exim Tours","Teneryfa",NA,9.5,"Lagos de Fanabe",3,"518584",NA,2349,2018-12-23
"120",2019-03-09,"œniadania i obiadokolacje","Exim Tours","Teneryfa",NA,9.5,"Lagos de Fanabe",3,"498840",NA,3199,2018-12-23
"121",2019-05-18,"bez wy¿ywienia","Exim Tours","Teneryfa",NA,NA,"Checkin Bungalows Atlantida",3,"509697",NA,1629,2018-12-23
"122",2019-03-09,"bez wy¿ywienia","Exim Tours","Teneryfa",NA,NA,"Checkin Bungalows Atlantida",3,"518823",NA,2179,2018-12-23
"123",2019-03-09,"bez wy¿ywienia","Exim Tours","Costa del Sol","Torremolinos",NA,"La Barracuda",3,"491780",NA,1189,2018-12-23
"124",2019-05-11,"œniadania i obiadokolacje","Wezyr","Costa Brava","Lloret de Mar",6.9,"Garbi Park",4,"17286",137,1818,2018-12-23
"125",2019-05-21,"bez wy¿ywienia","Exim Tours","Costa Brava","Lloret de Mar",7.6,"H-TOP Royal Star",4,"510430",62,1189,2018-12-23
"126",2019-04-08,"œniadania i obiadokolacje","Rainbow","Costa del Sol","Almunecar",8.1,"Playacalida Spa",4.5,"182723",426,2330,2018-12-23
"127",2019-05-21,"œniadania","Exim Tours","Costa Brava","Lloret de Mar",8.2,"GHT Oasis Park (Lloret de Mar)",4,"510434",394,1379,2018-12-23
"128",2019-05-18,"All Inclusive","Rainbow","Costa Brava","Calella",7.9,"Top Calella Palace",4,"210077",314,2614,2018-12-23
"129",2019-03-09,"œniadania","Exim Tours","Gran Canaria",NA,8.5,"Beverly Park (Playa del Ingles)",3,"493402",277,2029,2018-12-23
"130",2019-03-02,"œniadania i obiadokolacje","Itaka","Lanzarote","Costa Teguise",8,"Mansion Nazaret",3,"442086",80,2539,2018-12-23
"131",2019-05-04,"bez wy¿ywienia","Wezyr","Costa Brava","Santa Susanna",7.6,"H-Top Cartagonova",3,"430283",356,1519,2018-12-23
"132",2019-05-18,"œniadania i obiadokolacje","Exim Tours","Teneryfa",NA,9.3,"Sunlight Bahia Principe San Felipe",4,"518585",107,2559,2018-12-23
"133",2019-03-17,"œniadania i obiadokolacje","Exim Tours","Teneryfa",NA,9.3,"Sunlight Bahia Principe San Felipe",4,"502181",107,2789,2018-12-23
"134",2019-05-21,"bez wy¿ywienia","Exim Tours","Costa Brava","Lloret de Mar",5.2,"H. TOP Alexis (Lloret de Mar)",3,"510427",165,1089,2018-12-23
"135",2019-03-28,"bez wy¿ywienia","Exim Tours","Costa Brava","Lloret de Mar",6.5,"H-TOP Royal Beach (Lloret de Mar)",4,"510429",60,1039,2018-12-23
"136",2019-03-12,"œniadania i obiadokolacje","Prima Holiday","Costa Brava","Lloret Del Mar",9.9,"Evenia Olympic Garden",4,"513824",37,1967,2018-12-23
"137",2019-05-11,"All Inclusive","Rainbow","Costa Brava","Calella",7.3,"Oasis Splash (ex Serhs Park)",4,"410299",28,2299,2018-12-23
"138",2019-03-17,"All Inclusive","Rainbow","Teneryfa","Playa de las Americas",5,"Ponderosa",3,"410259",30,2220,2018-12-23
"139",2019-05-04,"All Inclusive","Rainbow","Costa Brava","Lloret de Mar",7.7,"Guitart Central Park",4,"410223",137,2680,2018-12-23
"140",2019-03-02,"All Inclusive","Itaka","Lanzarote","Puerto del Carmen",9.8,"Aequora Lanzarote Suites (ex. Sentido)",4.5,"442101",87,3339,2018-12-23
"141",2019-03-18,"All Inclusive","Itaka & Gala","Fuerteventura","Tarajalejo",8.4,"Design R2 Bahia Playa",4,"442134",199,2909,2018-12-23
"142",2019-03-09,"bez wy¿ywienia","Exim Tours","Costa del Sol","Fuengirola",NA,"Ilunion Fuengirola(ex confortel)",4,"504009",NA,1239,2018-12-23
"143",2019-04-02,"bez wy¿ywienia","Exim Tours","Costa del Sol","Fuengirola",NA,"Ilunion Fuengirola",4,"509962",NA,1429,2018-12-23
"144",2019-05-11,"œniadania","Exim Tours","Teneryfa",NA,NA,"Checkin Concordia Playa",4,"509698",NA,1819,2018-12-23
"145",2019-03-09,"œniadania","Exim Tours","Teneryfa",NA,NA,"Checkin Concordia Playa",4,"498832",NA,1899,2018-12-23
"146",2019-03-04,"œniadania i obiadokolacje","Itaka","Fuerteventura","Costa Calma",8.8,"SBH Crystal Beach & Suites",4,"442100",99,2799,2018-12-23
"147",2019-03-16,"œniadania i obiadokolacje","Itaka","Wyc. objazdowe",NA,NA,"Pla¿owanie na wulkanie",NA,"442088",NA,2769,2018-12-23
"148",2019-03-09,"All Inclusive","Exim Tours","Teneryfa",NA,8.8,"Be Live Experience Playa La Arena",4,"499728",1577,3689,2018-12-23
"149",2019-04-09,"bez wy¿ywienia","Exim Tours","Costa Brava","Lloret de Mar",NA,"H-TOP Palm Beach (ex. Ancla)",3,"510394",NA,1049,2018-12-23
"150",2019-05-21,"bez wy¿ywienia","Exim Tours","Costa Brava","Calella",NA,"Alegria Espanya (ex Fergus Espanya)",3,"510431",NA,1299,2018-12-23
"151",2019-05-18,"œniadania","Wezyr","Costa Brava","Santa Susanna",8.9,"Aqua Aquamarina",4,"189233",29,1932,2018-12-23
"152",2019-03-02,"All Inclusive","Itaka","Lanzarote","Costa Teguise",7.4,"BlueBay Lanzarote Beach",3.5,"442073",155,2999,2018-12-23
"153",2019-03-12,"All Inclusive 24h","Itaka","Gran Canaria","Playa del Ingles",8.5,"Abora Catarina (ex. Ifa)",4.5,"442051",142,3279,2018-12-23
"154",2019-03-09,"œniadania","Exim Tours","Costa del Sol","Benalmadena Coast",8.7,"Best Siroco",4,"491794",21,1589,2018-12-23
"155",2019-05-04,"œniadania","Exim Tours","Costa del Sol","Benalmadena Coast",8.7,"Best Siroco",4,"509955",21,1779,2018-12-23
"156",2019-05-18,"œniadania","Exim Tours","Teneryfa",NA,NA,"Blue Sea Costa Jardin",4,"522494",NA,1969,2018-12-23
"157",2019-03-09,"œniadania","Exim Tours","Teneryfa",NA,NA,"Blue Sea Costa Jardin",4,"491897",NA,2099,2018-12-23
"158",2019-05-18,"All Inclusive","Exim Tours","Teneryfa",NA,NA,"Blue Sea Costa Jardin",4,"518588",NA,2459,2018-12-23
"159",2019-03-09,"œniadania i obiadokolacje","Exim Tours","Gran Canaria","Playa del Ingles",7.3,"Rondo",4,"491817",57,2859,2018-12-23
"160",2019-04-08,"œniadania i obiadokolacje","Rainbow","Andaluzja - Costa Almeria","Roquetas de Mar",NA,"Playacapricho",4,"311434",NA,2131,2018-12-23
"161",2019-03-16,"All Inclusive","Exim Tours","Fuerteventura","Costa Calma",7.7,"Royal Suite",3,"498123",107,2319,2018-12-23
"162",2019-05-18,"œniadania","Wezyr","Costa Brava","Lloret de Mar",8.2,"Oasis Park",4,"226427",394,1818,2018-12-23
"163",2019-03-18,"All Inclusive","Itaka","Fuerteventura","Playa de Jandia",8.6,"Occidental Jandía Playa (ex Barcelo)",4,"442137",89,3169,2018-12-23
"164",2019-05-04,"All Inclusive","Itaka","Lanzarote","Costa Teguise",8.2,"Occidental Lanzarote Mar (ex Barcelo Lanzarote Resort)",4.5,"442069",173,3029,2018-12-23
"165",2019-05-09,"All Inclusive","Itaka","Teneryfa","Los Gigantes",8.7,"Barcelo Santiago",4.5,"441965",68,3369,2018-12-23
"166",2019-03-17,"œniadania","Exim Tours","Teneryfa",NA,7.1,"Elegance Miramar",3,"502129",NA,1729,2018-12-23
"167",2019-03-19,"bez wy¿ywienia","Exim Tours","Costa del Sol","Benalmadena Coast",8.9,"Holiday Palace",4,"491787",NA,1459,2018-12-23
"168",2019-04-02,"bez wy¿ywienia","Exim Tours","Costa del Sol","Benalmadena Coast",8.9,"Holiday Palace",4,"509967",NA,1659,2018-12-23
"169",2019-05-04,"œniadania","Wezyr","Costa Brava","Lloret de Mar",8.4,"Astoria Park",4,"270414",NA,1696,2018-12-23
"170",2019-05-14,"œniadania i obiadokolacje","Neckermann","Lanzarote","Puerto del Carmen",8.5,"Costa Mar (Puerto del Carmen)",3.5,"353227",68,2035,2018-12-23
"171",2019-05-14,"œniadania i obiadokolacje","Neckermann","Lanzarote","Puerto del Carmen",8.5,"Costa Mar (Puerto del Carmen)",3.5,"353225",68,3882,2018-12-23
"172",2019-05-14,"Wszystko w cenie","Neckermann","Lanzarote","Teguise",10,"SunConnect HD Beach Resort",4,"376956",NA,3449,2018-12-23
"173",2019-05-14,"Wszystko w cenie","Neckermann","Lanzarote","Teguise",10,"SunConnect HD Beach Resort",4,"376957",NA,3505,2018-12-23
"174",2019-05-14,"Wszystko w cenie","Neckermann","Lanzarote","Teguise",10,"HD Beach Resort",4,"498695",NA,3946,2018-12-23
"175",2019-05-14,"Wszystko w cenie","Neckermann","Lanzarote","Teguise",10,"HD Beach Resort",4,"498696",NA,4003,2018-12-23
"176",2019-05-21,"œniadania i obiadokolacje","Exim Tours","Costa Brava","Lloret de Mar",7.9,"Blue Sea Montevista Hawai (ex Evenia )",3,"510317",202,1229,2018-12-23
"177",2019-05-18,"œniadania i obiadokolacje","Exim Tours","Teneryfa",NA,8.4,"Hovima La Pinta (Playa de las Americas)",4,"509739",NA,2999,2018-12-23
"178",2019-05-13,"œniadania i obiadokolacje","Rainbow","Wyc. objazdowe",NA,7.2,"Hiszpania i Portugalia",3,"181591",NA,3149,2018-12-23
"179",2019-03-09,"œniadania i obiadokolacje","Exim Tours","Teneryfa",NA,8.4,"Hovima La Pinta (Playa de las Americas)",4,"500406",NA,3439,2018-12-23
"180",2019-03-09,"bez wy¿ywienia","Exim Tours","Gran Canaria","Maspalomas",8.4,"Parque Bali",2,"491658",NA,1799,2018-12-23
"181",2019-05-18,"All Inclusive","Exim Tours","Teneryfa",NA,9.3,"Villa Adeje Beach",3,"509657",87,2369,2018-12-23
"182",2019-03-09,"All Inclusive","Exim Tours","Teneryfa",NA,9.3,"Villa Adeje Beach",3,"491904",87,2579,2018-12-23
"183",2019-03-01,"All Inclusive","Rainbow","Gran Canaria","Playa del Ingles",8.3,"IFA Continental",3.5,"359563",72,2585,2018-12-23
"184",2019-03-09,"bez wy¿ywienia","Exim Tours","Costa del Sol","Benalmadena Coast",NA,"Benalmadena Palace",4,"491789",NA,1429,2018-12-23
"185",2019-05-23,"All Inclusive","Exim Tours","Majorka","Cala d Or",6.5,"Calimera Es Talaial",4,"515039",66,2419,2018-12-23
"186",2019-05-21,"œniadania","Exim Tours","Costa Brava","Calella",7.3,"GHT Maritim (Calella)",3,"510302",29,1389,2018-12-23
"187",2019-05-14,"Wszystko w cenie","Neckermann","Lanzarote","Playa Blanca",9.4,"Sandos Papagayo Beach Resort (ex. Arena)",4.5,"199403",NA,4998,2018-12-23
"188",2019-05-16,"œniadania i obiadokolacje","Itaka","Teneryfa","Puerto de la Cruz",4.1,"Sol Parque San Antonio",4,"467204",37,2469,2018-12-23
"189",2019-03-09,"All Inclusive","Exim Tours","Gran Canaria",NA,NA,"Dunas Maspalomas",4,"498212",NA,3759,2018-12-23
"190",2019-03-09,"All Inclusive","Exim Tours","Gran Canaria","Maspalomas",NA,"Vista Oasis",2,"491711",NA,2099,2018-12-23
"191",2019-03-09,"All Inclusive","Exim Tours","Gran Canaria",NA,NA,"Vista Oasis",2,"493398",NA,2119,2018-12-23
"192",2019-05-05,"All Inclusive","Rainbow","Majorka","Valdemossa",8.3,"Club Palia Maria Eugenia",4,"224600",88,2531,2018-12-23
"193",2019-03-09,"œniadania","Exim Tours","Costa del Sol",NA,8.3,"Perla Marina (Nerja)",4,"491790",NA,1429,2018-12-23
"194",2019-04-02,"œniadania","Exim Tours","Costa del Sol",NA,8.3,"Perla Marina (Nerja)",4,"509966",NA,1629,2018-12-23
"195",2019-03-09,"bez wy¿ywienia","Exim Tours","Costa del Sol","Benalmadena Coast",NA,"Holiday World (Benalmadena)",4,"491784",NA,1269,2018-12-23
"196",2019-04-02,"bez wy¿ywienia","Exim Tours","Costa del Sol","Benalmadena Coast",NA,"Holiday World (Benalmadena)",4,"516998",NA,1629,2018-12-23
"197",2019-05-11,"œniadania i obiadokolacje","Regent","Barcelona",NA,NA,"Magia Barcelony",3,"213277",NA,2050,2018-12-23
"198",2019-03-25,"œniadania i obiadokolacje","Itaka","Andaluzja","Sierra Nevada",NA,"Melia Sol y Nieve",4.5,"457463",NA,2739,2018-12-23
"199",2019-03-09,"bez wy¿ywienia","Exim Tours","Costa del Sol","Fuengirola",NA,"Stella Maris (Fuengirola)",3,"491781",NA,1239,2018-12-23
"200",2019-03-09,"œniadania","Exim Tours","Teneryfa",NA,8.4,"Gran Turquesa Playa",4,"491893",56,2299,2018-12-23
"201",2019-04-04,"œniadania i obiadokolacje","Neckermann","Fuerteventura","Caleta de Fuste",9,"Elba Carlota",4,"199342",246,3150,2018-12-23
"202",2019-03-28,"bez wy¿ywienia","Exim Tours","Costa Brava","Lloret de Mar",9.6,"Alegria Plaza Paris (ex. Fergus Plaza Paris)",4.5,"510439",83,1329,2018-12-23
"203",2019-04-27,"bez wy¿ywienia","Wezyr","Costa Brava","Calella",10,"Amaika",4,"360440",35,1814,2018-12-23
"204",2019-05-18,"All Inclusive","Exim Tours","Teneryfa",NA,8.8,"Bahia Principe Tenerife (Playa Paraiso)",4,"518590",68,3279,2018-12-23
"205",2019-03-09,"All Inclusive","Exim Tours","Teneryfa",NA,8.8,"Bahia Principe Tenerife (Playa Paraiso)",4,"502170",68,3379,2018-12-23
"206",2019-05-18,"œniadania","Wezyr","Costa Brava","Lloret de Mar",8.5,"La Palmera & Spa",3,"270674",NA,1666,2018-12-23
"207",2019-03-22,"All Inclusive","Rainbow","Gran Canaria","Playa del Cura",8.2,"Labranda Riviera Marina",4,"359562",48,2620,2018-12-23
"208",2019-03-14,"All Inclusive","Rainbow","Fuerteventura","Corralejo",9.4,"Suite Atlantis Fuerteventura Resort",4.5,"180615",NA,3202,2018-12-23
"209",2019-05-14,"œniadania i obiadokolacje","Neckermann","Lanzarote","Costa Teguise",7.3,"Beatriz Costa Teguise",4,"353278",62,4133,2018-12-23
"210",2019-03-14,"œniadania i obiadokolacje","Neckermann","Fuerteventura","Cotillo",8,"Cotillo Beach",3,"426151",NA,2839,2018-12-23
"211",2019-05-18,"bez wy¿ywienia","Exim Tours","Teneryfa",NA,NA,"Apartamentos Teneguia",2,"509643",NA,1369,2018-12-23
"212",2019-05-06,"All Inclusive","Itaka","Fuerteventura","Morro Jable",7.9,"Barcelo Jandia Mar",4,"442136",65,3149,2018-12-23
"213",2019-03-25,"œniadania i obiadokolacje","Itaka","Costa del Sol","Cala de Mijas",7.6,"VIK Gran Hotel Costa del Sol",4,"442068",116,1919,2018-12-23
"214",2019-03-12,"trzy posi³ki","Prima Holiday","Costa Brava","Lloret Del Mar",7.6,"H-TOP Royal Star",4,"502449",62,1699,2018-12-23
"215",2019-05-21,"trzy posi³ki","Prima Holiday","Costa Brava","Lloret Del Mar",7.6,"H-TOP Royal Star",4,"519499",62,1872,2018-12-23
"216",2019-03-09,"bez wy¿ywienia","Exim Tours","Costa del Sol","Fuengirola",8.3,"Myramar Fuengirola",3,"491783",NA,1379,2018-12-23
"217",2019-05-11,"bez wy¿ywienia","Exim Tours","Costa del Sol","Fuengirola",8.3,"Myramar Fuengirola",3,"509954",NA,1559,2018-12-23
"218",2019-05-18,"bez wy¿ywienia","Exim Tours","Teneryfa",NA,4.9,"Pez Azul",3,"509641",NA,1389,2018-12-23
"219",2019-03-09,"bez wy¿ywienia","Exim Tours","Teneryfa",NA,4.9,"Pez Azul",3,"498580",NA,1439,2018-12-23
"220",2019-05-18,"bez wy¿ywienia","Wezyr","Costa Brava","Calella",7.9,"Top Calella Palace",4,"360438",314,1662,2018-12-23
"221",2019-05-04,"All Inclusive","Itaka","Lanzarote","Costa Teguise",8,"Occidental Lanzarote Playa (ex. Be Live)",4.5,"442090",147,2989,2018-12-23
"222",2019-03-09,"œniadania i obiadokolacje","Exim Tours","Costa del Sol","Torremolinos",3,"Royal Costa",3,"491792",51,1299,2018-12-23
"223",2019-04-02,"œniadania i obiadokolacje","Exim Tours","Costa del Sol","Torremolinos",3,"Royal Costa",3,"509980",51,1559,2018-12-23
"224",2019-03-12,"bez wy¿ywienia","Exim Tours","Costa del Sol","Torremolinos",8.3,"Royal al Andalus",4,"491791",56,1499,2018-12-23
"225",2019-04-02,"bez wy¿ywienia","Exim Tours","Costa del Sol","Torremolinos",8.3,"Royal al Andalus",4,"509964",56,1639,2018-12-23
"226",2019-04-23,"bez wy¿ywienia","Exim Tours","Costa Brava","Malgrat del Mar",8,"Alegria Maripins (ex. Fergus Maripins)",4,"510432",183,1369,2018-12-23
"227",2019-05-16,"All Inclusive","Itaka","Teneryfa","Playa de las Americas",6.7,"Las Piramides (Playa de las Americas)",3,"441944",176,2529,2018-12-23
"228",2019-03-09,"bez wy¿ywienia","Exim Tours","Gran Canaria",NA,NA,"Tisalaya Park",1,"491819",NA,1699,2018-12-23
"229",2019-05-05,"All Inclusive","Itaka","Majorka","Can Pastilla",9.3,"Calma",3.5,"505728",42,2069,2018-12-23
"230",2019-03-09,"All Inclusive","Exim Tours","Gran Canaria","Maspalomas",8.3,"Tabaiba Princess",4,"491720",93,3899,2018-12-23
"231",2019-05-04,"œniadania i obiadokolacje","Exim Tours","Costa Dorada","Salou",9.3,"Gran Regina",4,"515232",27,1629,2018-12-23
"232",2019-05-06,"œniadania i obiadokolacje","Rainbow","Costa de la Luz","Isla Canela",8,"Playacanela",4.5,"182751",140,2264,2018-12-23
"233",2019-05-12,"All Inclusive","Itaka","Majorka","Cala D'Or",7.8,"Barcelo Ponent Playa",3.5,"505732",91,2189,2018-12-23
"234",2019-03-09,"All Inclusive","Exim Tours","Gran Canaria",NA,7.2,"Dunas Mirador Maspalomas",3,"495446",148,2699,2018-12-23
"235",2019-03-09,"œniadania","Exim Tours","Gran Canaria",NA,8.5,"IFA Buenaventura",3,"499404",308,2189,2018-12-23
"236",2019-05-18,"œniadania","Wezyr","Costa Brava","Blanes",10,"Beverly Park",4,"213824",NA,1963,2018-12-23
"237",2019-05-12,"œniadania","Neckermann","Teneryfa","Puerto de la Cruz",8.6,"Perla Tenerife",3.5,"369067",56,2425,2018-12-23
"238",2019-04-21,"œniadania","Neckermann","Teneryfa","Puerto de la Cruz",8.6,"Perla Tenerife",3,"503538",56,2552,2018-12-23
"239",2019-05-05,"All Inclusive","Rainbow","Majorka","Cala D'Or",8,"Palia Dolce Farniente",3,"260809",87,2449,2018-12-23
"240",2019-05-23,"All Inclusive","Itaka","Teneryfa","Playa de la Arena",6.9,"Bahia Flamingo",3,"441962",78,2609,2018-12-23
"241",2019-05-18,"All Inclusive","Exim Tours","Teneryfa","Costa Adeje",8.7,"Iberostar Las Dalias",4,"509727",38,2979,2018-12-23
"242",2019-03-09,"All Inclusive","Exim Tours","Teneryfa","Costa Adeje",8.7,"Iberostar Las Dalias",4,"491921",38,3949,2018-12-23
"243",2019-03-09,"bez wy¿ywienia","Exim Tours","Gran Canaria","Playa del Ingles",7.4,"Jardin Atlantico",3,"491865",26,1769,2018-12-23
"244",2019-03-23,"bez wy¿ywienia","Exim Tours","Gran Canaria",NA,7.4,"Jardin Atlantico",3,"494552",26,2289,2018-12-23
"245",2019-05-18,"bez wy¿ywienia","Exim Tours","Teneryfa",NA,NA,"Casa del Sol",3,"509640",NA,1389,2018-12-23
"246",2019-05-18,"bez wy¿ywienia","Exim Tours","Teneryfa",NA,NA,"GF Noelia",3,"518595",NA,1619,2018-12-23
"247",2019-03-09,"bez wy¿ywienia","Exim Tours","Teneryfa",NA,NA,"GF Noelia",3,"499810",NA,1769,2018-12-23
"248",2019-05-18,"œniadania i obiadokolacje","Exim Tours","Teneryfa",NA,8.2,"Hovima Santa Maria (Costa Adeje)",3,"509655",54,1899,2018-12-23
"249",2019-04-01,"œniadania i obiadokolacje","Rainbow","Costa del Sol","Marbella",8.1,"Marbella Playa",4,"258827",149,2214,2018-12-23
"250",2019-05-04,"œniadania i obiadokolacje","Rainbow","Costa Brava","Santa Susanna",7.4,"H-TOP Royal Sun",4,"182694",227,2361,2018-12-23
"251",2019-03-09,"œniadania i obiadokolacje","Exim Tours","Teneryfa",NA,8.2,"Hovima Santa Maria (Costa Adeje)",3,"491895",54,2389,2018-12-23
"252",2019-03-04,"œniadania i obiadokolacje","Itaka","Fuerteventura","Caleta de Fuste",8.7,"Barcelo Fuerteventura",4,"442219",20,3319,2018-12-23
"253",2019-05-18,"bez wy¿ywienia","Wezyr","Costa Brava","Santa Susanna",7.4,"H-TOP Royal Sun",4,"192548",227,1765,2018-12-23
"254",2019-05-11,"œniadania i obiadokolacje","Rainbow","Wyc. objazdowe",NA,NA,"Hiszpañskie El Clasico",3,"258823",NA,2971,2018-12-23
"255",2019-05-04,"All Inclusive","Rainbow","Costa Brava","Lloret de Mar",7.6,"Rosamar Garden Resort",4.5,"410338",NA,2730,2018-12-23
"256",2019-05-04,"bez wy¿ywienia","Wezyr","Costa Brava","Santa Susanna",8.2,"Tahiti Playa",4,"226421",26,2030,2018-12-23
"257",2019-05-11,"All Inclusive","Rainbow","Costa Brava","Pineda de Mar",8,"H TOP Pineda Palace",4,"199819",223,2530,2018-12-23
"258",2019-05-14,"bez wy¿ywienia","Neckermann","Lanzarote","Playa Blanca",7.8,"THB Tropical Island",4,"418233",135,4329,2018-12-23
"259",2019-05-14,"bez wy¿ywienia","Neckermann","Lanzarote","Playa Blanca",7.8,"THB Tropical Island",4,"418234",135,4515,2018-12-23
"260",2019-04-08,"œniadania i obiadokolacje","Itaka","Wyc. objazdowe",NA,NA,"Baœnie tysi¹ca i 7 nocy",NA,"489235",NA,3099,2018-12-23
"261",2019-03-02,"œniadania","Exim Tours","Costa Blanca","Benidorm",8.6,"Palm Beach (Benidorm)",4,"494366",NA,1519,2018-12-23
"262",2019-03-12,"trzy posi³ki","Prima Holiday","Costa Brava","Calella",7.9,"H-TOP Calella Palace & Spa",4,"502447",314,1699,2018-12-23
"263",2019-05-21,"trzy posi³ki","Prima Holiday","Costa Brava","Calella",7.9,"H-TOP Calella Palace & Spa",4,"519915",314,1872,2018-12-23
"264",2019-05-04,"œniadania i obiadokolacje","Wezyr","Costa Brava","Lloret de Mar",8.4,"Gran Garbi Mar",4,"338373",47,1910,2018-12-23
"265",2019-03-09,"œniadania","Exim Tours","Costa del Sol","Fuengirola",8.7,"Ipv Beatriz Palace & Spa (ex.Beatriz Palace)",4,"491662",NA,2199,2018-12-23
"266",2019-05-11,"œniadania","Exim Tours","Costa del Sol","Fuengirola",8.7,"Ipv Beatriz Palace & Spa (ex.Beatriz Palace)",4,"510006",NA,2349,2018-12-23
"267",2019-05-07,"Wszystko w cenie","Neckermann","Lanzarote","Costa Teguise",8.9,"Be Live Experience Lanzarote Beach (ex. Luabay)",4,"199387",31,4900,2018-12-23
"268",2019-05-14,"Wszystko w cenie","Neckermann","Lanzarote","Costa Teguise",8.9,"Be Live Experience Lanzarote Beach (ex. Luabay)",4,"498716",31,5197,2018-12-23
"269",2019-03-14,"œniadania i obiadokolacje","Itaka","Wyc. objazdowe",NA,NA,"Wyspy Szczêœliwe",NA,"503911",NA,3939,2018-12-23
"270",2019-03-09,"œniadania","Exim Tours","Costa del Sol",NA,NA,"Bahia Tropical",4,"491823",NA,1599,2018-12-23
"271",2019-05-11,"œniadania","Exim Tours","Costa del Sol",NA,NA,"Bahia Tropical",4,"509951",NA,1699,2018-12-23
"272",2019-03-09,"œniadania","Exim Tours","Teneryfa",NA,7.7,"Vincci Tenerife Golf",4,"498833",46,2299,2018-12-23
"273",2019-03-17,"œniadania i obiadokolacje","Ecco Holiday","Teneryfa","Callao Salvaje",6.7,"Blue Sea Callao Garden (ex Vime)",3,"435840",154,2673,2018-12-23
"274",2019-03-02,"All Inclusive","Itaka","Lanzarote","Playa Blanca",7.8,"THB Tropical Island",4,"442042",135,3319,2018-12-23
"275",2019-05-18,"œniadania","Exim Tours","Teneryfa",NA,8.5,"Gala Tenerife",4,"510409",109,2139,2018-12-23
"276",2019-03-17,"œniadania","Exim Tours","Teneryfa",NA,8.5,"Gala Tenerife",4,"501249",109,2699,2018-12-23
"277",2019-03-05,"bez wy¿ywienia","Ecco Holiday","Costa del Sol","Torremolinos",NA,"La Barracuda",3,"405747",NA,1431,2018-12-23
"278",2019-05-14,"bez wy¿ywienia","Neckermann","Lanzarote","Puerto del Carmen",7.2,"THB Flora (Puerto del Carmen)",3.5,"477368",42,4011,2018-12-23
"279",2019-05-14,"bez wy¿ywienia","Neckermann","Lanzarote","Puerto del Carmen",7.2,"Flora (Puerto del Carmen)",3.5,"477401",42,4119,2018-12-23
"280",2019-05-14,"œniadania","Neckermann","Lanzarote","Puerto del Carmen",7.2,"THB Flora (Puerto del Carmen)",3.5,"477404",42,4383,2018-12-23
"281",2019-05-14,"bez wy¿ywienia","Neckermann","Lanzarote","Puerto del Carmen",7.2,"THB Flora (Puerto del Carmen)",3.5,"473774",42,4617,2018-12-23
"282",2019-05-05,"œniadania i obiadokolacje","Rainbow","Majorka","Playa de Muro",8.3,"Iberostar Albufera Park",4.5,"182214",NA,3700,2018-12-23
"283",2019-04-13,"œniadania","Exim Tours","Teneryfa",NA,6.8,"El Tope",4,"518574",NA,1879,2018-12-23
"284",2019-03-09,"œniadania","Exim Tours","Teneryfa",NA,6.8,"El Tope",4,"501302",NA,2179,2018-12-23
"285",2019-03-02,"All Inclusive","Exim Tours","Costa Blanca","Benidorm",NA,"Sandos Monaco & Spa",4,"494436",NA,2259,2018-12-23
"286",2019-04-02,"All Inclusive","Exim Tours","Costa Blanca","Benidorm",NA,"Sandos Monaco & Spa",4,"516958",NA,2349,2018-12-23
"287",2019-05-07,"œniadania","Neckermann","Lanzarote","Playa Blanca",9.6,"Iberostar Lanzarote Park",5,"473647",NA,4991,2018-12-23
"288",2019-05-07,"œniadania","Neckermann","Lanzarote","Playa Blanca",9.6,"Iberostar Lanzarote Park",5,"473698",NA,5153,2018-12-23
"289",2019-05-07,"œniadania","Neckermann","Lanzarote","Playa Blanca",9.6,"Iberostar Lanzarote Park",5,"473648",NA,5312,2018-12-23
"290",2019-05-07,"œniadania","Neckermann","Lanzarote","Playa Blanca",9.6,"Iberostar Lanzarote Park",5,"473603",NA,5375,2018-12-23
"291",2019-05-07,"œniadania","Neckermann","Lanzarote","Playa Blanca",9.6,"Iberostar Lanzarote Park",5,"473699",NA,5521,2018-12-23
"292",2019-05-07,"œniadania","Neckermann","Lanzarote","Playa Blanca",9.6,"Iberostar Lanzarote Park",5,"473602",NA,5568,2018-12-23
