"","termin_wycieczki","wyzywienie","organizator","region","miejscowosc","ocena_wycieczki","hotel_nazwa","hotel_gwiazdki","id_wycieczki","liczba_rezerwacji","cena_za_osobe","data_aktualizacji"
"990",2019-05-03,"œniadania i obiadokolacje","Rainbow","Gran Canaria","Playa del Ingles",7.5,"Labranda Marieta (ex. Valentin)",4,"359579",NA,3530,2018-12-23
"991",2019-05-21,"œniadania i obiadokolacje","Itaka & Gala","Gran Canaria","Meloneras",8.6,"Lopesan Villa Del Con",5,"442390",NA,3609,2018-12-23
"992",2019-05-12,"œniadania","Neckermann","Teneryfa","Costa Adeje",8.5,"Iberostar Sabila (ex Iberostar Torviscas Playa)",5,"199329",NA,3633,2018-12-23
"993",2019-04-12,"œniadania","Neckermann","Gran Canaria","Las Palmas",10,"Reina Isabel (Las Palmas)",4.5,"498694",NA,3745,2018-12-23
"994",2019-05-12,"œniadania","Neckermann","Teneryfa","Costa Adeje",8.5,"Iberostar Sabila (ex Iberostar Torviscas Playa)",5,"371262",NA,3817,2018-12-23
"995",2019-03-23,"œniadania i obiadokolacje","Ecco Holiday","Gran Canaria","Playa del Ingles",9.1,"Escorial",3,"468109",NA,3846,2018-12-23
"996",2019-03-09,"œniadania i obiadokolacje","Ecco Holiday","Gran Canaria","Playa del Ingles",8.1,"Eugenia Victoria",3,"468108",NA,3846,2018-12-23
"997",2019-04-26,"bez wy¿ywienia","Neckermann","Gran Canaria","Maspalomas",8.4,"Cordial Green Golf",3.5,"519112",NA,3904,2018-12-23
"998",2019-04-26,"bez wy¿ywienia","Neckermann","Gran Canaria","Maspalomas",8.4,"Cordial Green Golf",3.5,"519084",NA,3904,2018-12-23
"999",2019-05-05,"œniadania","Neckermann","Teneryfa","Costa Adeje",NA,"Baobab Suites",5,"494667",NA,4057,2018-12-23
"1000",2019-05-09,"Wszystko w cenie","Neckermann","Gran Canaria","Playa del Inglés",8.3,"Ifa Continental",3.5,"199327",72,4058,2018-12-23
